room_id	host_id	room_type	country	city	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	property_type
19994829	7938389	Entire home/apt	France	Paris	Grandes-Carrières	0	0.0	3	1.0	61.0	Apartment
9388859	8816961	Entire home/apt	France	Paris	Porte-Dauphine	0	0.0	10	4.0	2421.0	Apartment
20031430	8816961	Entire home/apt	France	Paris	Champs-Elysées	0	0.0	7	3.0	1210.0	Apartment
732458	3813661	Entire home/apt	France	Paris	Clignancourt	13	5.0	8	4.0	1210.0	House
15658427	101076033	Entire home/apt	France	Paris	Mail	6	5.0	12	7.0	1210.0	Apartment
14705624	3038685	Entire home/apt	France	Paris	Europe	0	0.0	16	2.0	1452.0	Apartment
8724670	45790056	Entire home/apt	France	Paris	Ecole-Militaire	0	0.0	6	3.0	1513.0	Apartment
15645028	43119328	Entire home/apt	France	Paris	Archives	1	0.0	8	4.0	1263.0	Apartment
16817978	111882181	Entire home/apt	France	Paris	Necker	0	0.0	11	6.0	726.0	Apartment
7220419	9044891	Entire home/apt	France	Paris	Saint-Thomas-dAquin	0	0.0	4	2.0	728.0	Apartment
779192	4108708	Entire home/apt	France	Paris	Odeon	8	4.5	6	4.0	726.0	Apartment
1201717	6564425	Entire home/apt	France	Paris	Chaillot	7	4.5	11	6.0	726.0	Apartment
2231307	9044891	Entire home/apt	France	Paris	Notre-Dame-des-Champs	2	0.0	3	2.0	775.0	Apartment
10855097	56226564	Entire home/apt	France	Paris	Muette	1	0.0	6	2.0	726.0	Apartment
13089646	33809007	Entire home/apt	France	Paris	Invalides	4	5.0	5	3.0	726.0	Apartment
1966339	10152199	Entire home/apt	France	Paris	Archives	10	4.5	6	3.0	747.0	Apartment
18115633	53323515	Entire home/apt	France	Paris	Gros-Caillou	0	0.0	8	3.0	761.0	Apartment
10135380	10331868	Entire home/apt	France	Paris	Roquette	0	0.0	8	4.0	756.0	Loft
19382945	135868859	Entire home/apt	France	Paris	Gros-Caillou	0	0.0	6	3.0	726.0	Apartment
9143239	47474093	Entire home/apt	France	Paris	Muette	0	0.0	4	2.0	726.0	Apartment
16952376	103193284	Entire home/apt	France	Paris	Necker	0	0.0	7	4.0	726.0	House
11505726	9044891	Entire home/apt	France	Paris	Chaussée-dAntin	0	0.0	6	3.0	784.0	Apartment
3523624	17745452	Entire home/apt	France	Paris	Croulebarbe	24	4.5	3	2.0	787.0	Apartment
1975475	3763984	Entire home/apt	France	Paris	Sorbonne	7	4.5	6	2.0	787.0	Apartment
19867528	76104209	Entire home/apt	France	Paris	Saint-Germain-des-Prés	0	0.0	5	3.0	726.0	Apartment
16009686	2856748	Entire home/apt	France	Paris	Saint-Avoye	1	0.0	9	4.0	787.0	Apartment
15131991	10467377	Entire home/apt	France	Paris	St-Germain-lAuxerrois	4	5.0	6	3.0	787.0	Apartment
17757555	121181117	Entire home/apt	France	Paris	Gros-Caillou	0	0.0	6	4.0	787.0	Apartment
